date_hour,sentiment_index
2024-01-07 11,0.6170056345339664
2024-01-07 12,0.7511515500491016
2024-01-07 13,0.7134944139571724
2024-01-07 14,0.6907287221020463
2024-01-07 15,0.688347666081842
2024-01-07 16,0.6971944451450355
2024-01-07 17,0.6705774322761102
2024-01-07 18,0.6651358946094155
2024-01-07 19,0.6428130051988631
2024-01-07 20,0.7194715458050007
2024-01-07 21,0.7455934257298076
2024-01-07 22,0.6417906516350789
2024-01-07 23,0.6891398071952287
2024-01-08 00,0.7292453847847316
2024-01-08 01,0.7424116876405685
2024-01-08 02,0.7651058149316884
2024-01-08 03,0.6449559068546158
2024-01-08 04,0.6639541355475702
2024-01-08 05,0.7508524021015788
2024-01-08 06,0.7229310950084553
2024-01-08 07,0.7126026159124231
2024-01-08 08,0.6938087387194326
2024-01-08 09,0.5998660977197074
